2025-09-07 22:05:15 | INFO     | mltrader | [INIT] DB at /home/karthik/market.db
2025-09-07 22:05:15 | INFO     | mltrader | [INIT] Symbols: ['NSE:NIFTY50-INDEX', 'NSE:SBIN-EQ', 'NSE:RELIANCE-EQ', 'NSE:TCS-EQ', 'NSE:HDFCBANK-EQ', 'NSE:ICICIBANK-EQ', 'NSE:INFY-EQ', 'NSE:AXISBANK-EQ', 'NSE:KOTAKBANK-EQ', 'NSE:ITC-EQ', 'NSE:HINDUNILVR-EQ', 'NSE:LT-EQ', 'NSE:MARUTI-EQ', 'NSE:M&M-EQ', 'NSE:BAJFINANCE-EQ', 'NSE:BAJAJFINSV-EQ', 'NSE:ADANIENT-EQ', 'NSE:ADANIPORTS-EQ', 'NSE:POWERGRID-EQ', 'NSE:ONGC-EQ', 'NSE:NTPC-EQ', 'NSE:TATAMOTORS-EQ', 'NSE:TATASTEEL-EQ', 'NSE:TITAN-EQ', 'NSE:WIPRO-EQ', 'NSE:TECHM-EQ', 'NSE:ULTRACEMCO-EQ', 'NSE:GRASIM-EQ', 'NSE:JSWSTEEL-EQ', 'NSE:COALINDIA-EQ', 'NSE:BPCL-EQ', 'NSE:IOC-EQ', 'NSE:HEROMOTOCO-EQ', 'NSE:BRITANNIA-EQ', 'NSE:HCLTECH-EQ', 'NSE:CIPLA-EQ', 'NSE:DIVISLAB-EQ', 'NSE:DRREDDY-EQ']
2025-09-07 22:05:15 | INFO     | mltrader | [RUN MODE] DRY_RUN=True ALLOW_SHORT=False
2025-09-07 22:05:15 | INFO     | mltrader | [AUTH] Ensuring tokens…
2025-09-07 22:05:15 | INFO     | mltrader | [AUTH] OK.
2025-09-07 22:05:15 | INFO     | mltrader | [WS ctrl] {'type': 'cn', 'code': 200, 'message': 'Authentication done', 's': 'ok'}
2025-09-07 22:05:15 | INFO     | mltrader | [WS ctrl] {'type': 'ful', 'code': 200, 'message': 'Full Mode On', 's': 'ok'}
2025-09-07 22:05:17 | INFO     | mltrader | [WS] Connected. Subscribing…
2025-09-07 22:05:17 | INFO     | mltrader | [WS] Subscribed.
2025-09-07 22:11:57 | INFO     | mltrader | [INIT] DB at /home/karthik/market.db
2025-09-07 22:11:57 | INFO     | mltrader | [INIT] Symbols: ['NSE:NIFTY50-INDEX', 'NSE:SBIN-EQ', 'NSE:RELIANCE-EQ', 'NSE:TCS-EQ', 'NSE:HDFCBANK-EQ', 'NSE:ICICIBANK-EQ', 'NSE:INFY-EQ', 'NSE:AXISBANK-EQ', 'NSE:KOTAKBANK-EQ', 'NSE:ITC-EQ', 'NSE:HINDUNILVR-EQ', 'NSE:LT-EQ', 'NSE:MARUTI-EQ', 'NSE:M&M-EQ', 'NSE:BAJFINANCE-EQ', 'NSE:BAJAJFINSV-EQ', 'NSE:ADANIENT-EQ', 'NSE:ADANIPORTS-EQ', 'NSE:POWERGRID-EQ', 'NSE:ONGC-EQ', 'NSE:NTPC-EQ', 'NSE:TATAMOTORS-EQ', 'NSE:TATASTEEL-EQ', 'NSE:TITAN-EQ', 'NSE:WIPRO-EQ', 'NSE:TECHM-EQ', 'NSE:ULTRACEMCO-EQ', 'NSE:GRASIM-EQ', 'NSE:JSWSTEEL-EQ', 'NSE:COALINDIA-EQ', 'NSE:BPCL-EQ', 'NSE:IOC-EQ', 'NSE:HEROMOTOCO-EQ', 'NSE:BRITANNIA-EQ', 'NSE:HCLTECH-EQ', 'NSE:CIPLA-EQ', 'NSE:DIVISLAB-EQ', 'NSE:DRREDDY-EQ']
2025-09-07 22:11:57 | INFO     | mltrader | [RUN MODE] DRY_RUN=True ALLOW_SHORT=False
2025-09-07 22:11:57 | INFO     | mltrader | [AUTH] Ensuring tokens…
2025-09-07 22:11:57 | INFO     | mltrader | [AUTH] OK.
2025-09-07 22:11:58 | INFO     | mltrader | [WS ctrl] {'type': 'cn', 'code': 200, 'message': 'Authentication done', 's': 'ok'}
2025-09-07 22:11:58 | INFO     | mltrader | [WS ctrl] {'type': 'ful', 'code': 200, 'message': 'Full Mode On', 's': 'ok'}
2025-09-07 22:11:59 | INFO     | mltrader | [WS] Connected. Preparing subscription…
2025-09-07 22:11:59 | INFO     | mltrader | [WS sub] Attempting subscribe of 38 symbols
2025-09-07 22:11:59 | INFO     | mltrader | [WS sub] Subscribed to all 38 symbols.
2025-09-07 22:12:00 | INFO     | mltrader | [WS] Subscribed.
2025-09-07 22:15:51 | INFO     | mltrader | [INIT] DB at /home/karthik/market.db
